Job array    : 752, task 11
Node         : bn049
Started at   : Tue Mar 17 02:39:18 PM EDT 2026
Config       : train/config/default.yaml
Study        : yoloe_hparam_search_v4 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4
Study name   : yoloe_hparam_search_v4
Storage      : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Epochs/trial : 50 (max, EMA early stopping patience=15)
EMA alpha    : 0.3
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4

  Epoch   2/50 | LR=5.93e-05 | TLoss=333.8170 | VLoss=346.2763 | AP@50=0.0005 | SliceAP=0.4158 | EMA_SliceAP=0.2495
  Epoch   3/50 | LR=9.07e-05 | TLoss=197.7027 | VLoss=197.4364 | AP@50=0.0002 | SliceAP=0.4158 | EMA_SliceAP=0.2994
  Epoch   4/50 | LR=1.22e-04 | TLoss=103.6806 | VLoss=103.2384 | AP@50=0.0003 | SliceAP=0.5149 | EMA_SliceAP=0.3640
  Epoch   5/50 | LR=1.53e-04 | TLoss=57.2990 | VLoss=64.1480 | AP@50=0.0012 | SliceAP=0.5248 | EMA_SliceAP=0.4123
  Epoch   6/50 | LR=1.85e-04 | TLoss=38.7393 | VLoss=48.4559 | AP@50=0.0001 | SliceAP=0.0792 | EMA_SliceAP=0.3123
  Epoch   7/50 | LR=2.16e-04 | TLoss=32.4543 | VLoss=40.4561 | AP@50=0.0008 | SliceAP=0.0693 | EMA_SliceAP=0.2394
  Epoch   8/50 | LR=2.48e-04 | TLoss=30.0809 | VLoss=38.6246 | AP@50=0.0089 | SliceAP=0.2277 | EMA_SliceAP=0.2359
  Epoch   9/50 | LR=2.79e-04 | TLoss=25.7222 | VLoss=37.9536 | AP@50=0.0112 | SliceAP=0.1980 | EMA_SliceAP=0.2245
  Epoch  10/50 | LR=2.79e-04 | TLoss=23.6528 | VLoss=37.1344 | AP@50=0.1183 | SliceAP=0.5050 | EMA_SliceAP=0.3087
  Epoch  11/50 | LR=2.77e-04 | TLoss=21.9862 | VLoss=37.8317 | AP@50=0.1520 | SliceAP=0.5347 | EMA_SliceAP=0.3765
  Epoch  12/50 | LR=2.76e-04 | TLoss=19.7579 | VLoss=36.2363 | AP@50=0.1944 | SliceAP=0.5842 | EMA_SliceAP=0.4388
  Epoch  13/50 | LR=2.73e-04 | TLoss=17.8085 | VLoss=37.3351 | AP@50=0.0727 | SliceAP=0.6040 | EMA_SliceAP=0.4883
  Epoch  14/50 | LR=2.70e-04 | TLoss=16.6900 | VLoss=34.7251 | AP@50=0.1821 | SliceAP=0.5743 | EMA_SliceAP=0.5141
  Epoch  15/50 | LR=2.66e-04 | TLoss=16.2330 | VLoss=33.9335 | AP@50=0.1396 | SliceAP=0.5347 | EMA_SliceAP=0.5203
  Epoch  16/50 | LR=2.61e-04 | TLoss=15.1129 | VLoss=48.2817 | AP@50=0.0774 | SliceAP=0.4752 | EMA_SliceAP=0.5068
  Epoch  17/50 | LR=2.56e-04 | TLoss=14.6941 | VLoss=39.7005 | AP@50=0.1169 | SliceAP=0.4356 | EMA_SliceAP=0.4854
  Epoch  18/50 | LR=2.50e-04 | TLoss=14.6262 | VLoss=38.0192 | AP@50=0.2933 | SliceAP=0.5050 | EMA_SliceAP=0.4913
